Latitude,Longitude,name,description
48.839907,2.361975,"Space Invader PA_0102 & PA_0564, 42 boulevard de l'HÃ´pital",
48.859253,2.354045,"Space Invader PA_0103, 30 rue du Temple, dans la cour",
48.853403,2.414337,"Space Invader PA_0104, sud de la place de la Porte de Montreuil",
48.86744,2.3638,"Space Invader PA_0105, Ã  droite du lion de la statue",
48.853901,2.361889,"Space Invader PA_0106, 2 rue Charlemagne",
48.859382,2.292935,"Space Invader PA_0107, pont d'IÃ©na, rive gauche nord",
48.859936,2.29058,"Space Invader PA_0108, tunnel de l'avenue de New York",
48.859764,2.352534,"Space Invader PA_0109, 587 & 1081, tuyaux d'Ã©vacuation du Centre Pompidou",
48.86263,2.35125,"Space Invader PA_0110, 91 rue Quincampoix",
48.891598,2.344664,"Space Invader PA_0111, 20 rue Hermel",
48.835,2.326943,"Space Invader PA_0112, 19 rue Gassendi",
48.846596,2.351423,"Space Invader PA_0113, 46 rue du Cardinal Lemoine",
48.857153,2.357275,"Space Invader PA_0114 & PA_1023, 26 rue Vieille du Temple",
48.858572,2.359639,"Space Invader PA_0115, impasse des ArbalÃ©triers",
48.854719,2.372764,"Space Invader PA_0116, 45 passage ThiÃ©rÃ©",
48.854414,2.373113,"Space Invader PA_0117, 31 passage ThiÃ©rÃ© sur le trottoir",
48.835576,2.375347,"Space Invader PA_0118, 1 rue Raymond Ayron",
48.859426,2.402789,"Space Invader PA_0119 & PA_0824, 102 rue de Bagnolet",
48.869474,2.367228,"Space Invader PA_0120, 44 quai de Jemmapes",
48.857629,2.332797,"Space Invader PA_0121, 7 rue des Saints-PÃ¨res",
48.840487,2.353132,"Space Invader PA_0122, rue de la Clef, sous le lierre",
48.873356,2.324385,"Space Invader PA_0124, 40 rue de l'Arcade",
48.83954,2.39581,"Space Invader PA_0125, sud de la Fontaine aux Lions",
48.859222,2.292681,"Space Invader PA_0126, pont d'IÃ©na (rive gauche)",
48.852,2.37376,"Space Invader PA_0128, 1 rue de Charonne",
48.856488,2.403152,"Space Invader PA_0131, 53 rue des Orteaux",
48.856255,2.405541,"Space Invader PA_0132, 97 rue des MaraÃ®chers",
