name,Latitude,Longitude
"Space Invader PA_0364, 347 rue de Vaugirard",48.83711,2.29638
"Space Invader PA_0365, 268 rue de Vaugirard",48.839249,2.300281
"Space Invader PA_0366, 127 rue Castagnary",48.8299,2.30356
"Space Invader PA_0367, 108 rue Brancion",48.82981,2.3017
"Space Invader PA_0369, 7 rue Jules Vall̬s",48.853404,2.385082
"Space Invader PA_0371, Ouest de la fontaine de Montreuil",48.85037,2.38316
"Space Invader PA_0372, 63 rue du Faubourg Saint-Antoine",48.85191,2.37404
"Space Invader PA_0373, 121 rue Oberkampf",48.866061,2.378809
"Space Invader PA_0374, 29 boulevard Raspail",48.853198,2.326541
"Space Invader PA_0375, 2 rue de l'Est",48.870922,2.395388
"Space Invader PA_0376, 28 rue de Poitou",48.86167,2.362442
"Space Invader PA_0377, 52 boulevard Voltaire",48.86302,2.37105
"Space Invader PA_0378, 45 rue de Poitou",48.86174,2.36131
"Space Invader PA_0379, 17 rue des Blancs-Manteaux",48.85881,2.35731
"Space Invader PA_0380, port du Gros-caillou",48.862947,2.309289
"Space Invader PA_0381, place Joffre, all̩e Thomy Thierry",48.852271,2.301291
"Space Invader PA_0384, 26 rue du Moulin Joly",48.869815,2.378334
"Space Invader PA_0385, 41 rue Dunois",48.83149,2.36856
"Space Invader PA_0386, croisement rue de Rome/bvd des Batignolles",48.881849,2.32087
"Space Invader PA_0388, Gare Montparnasse",48.841083,2.320092
"Space Invader PA_0389, 86 rue de Botzaris",48.879467,2.389352
"Space Invader PA_0390, 1 passage Gustave Lepeu",48.856021,2.386367
"Space Invader PA_0391, 114 quai de Bercy",48.83174,2.385019
"Space Invader PA_0392, 35 quai des Grands Augustins",48.854565,2.342448
"Space Invader PA_0394, pont Saint-Michel",48.854351,2.344578
"Space Invader PA_0395, 14 rue Chomel",48.85182,2.32449
"Space Invader PA_0396, 49 rue de Beaubourg",48.862668,2.35441
"Space Invader PA_0398, 1 pont Morland",48.84742,2.365655
"Space Invader PA_0399, pont de l'Alma",48.862586,2.302184
"Space Invader PA_0400, 93 quai d'Orsay",48.862166,2.302284
"Space Invader PA_0401, fontaine de Cuvier",48.843999,2.354947
"Space Invader PA_0402, quai Anantole France",48.86244,2.32015
"Space Invader PA_0403, porte N-E du parc George Brassens",48.83208,2.30289
"Space Invader PA_0404, face au 2 place de la Bourse",48.869401,2.342066
"Space Invader PA_0405, face au 110 rue Castagnary",48.830168,2.305931
"Space Invader PA_0406, 4 rue de Braque",48.860747,2.357133
"Space Invader PA_0407, 93 rue Vieille du Temple",48.860102,2.360883
"Space Invader PA_0410, 0 rue de la Mare",48.868393,2.38822
"Space Invader PA_0411, 68 rue Orfila",48.867053,2.397994
"Space Invader PA_0412, 15 rue Robineau",48.864799,2.393552
"Space Invader PA_0413, 3 boulevard Malsherbes",48.869917,2.323209
"Space Invader PA_0414, 2 rue du 11 Novembre 1918",48.891977,2.410014
"Space Invader PA_0415, 34 rue Titon",48.852895,2.386345
"Space Invader PA_0416, 9 rue de Marseille",48.871537,2.363221
"Space Invader PA_0418, 139 avenue Michelet",48.901461,2.344331
"Space Invader PA_0420, 45 rue Anselme",48.909131,2.336024
"Space Invader PA_0421, 71 rue des Rondeaux",48.86476,2.39571
"Space Invader PA_0422, 32 rue Dunois",48.83124,2.36918
"Space Invader PA_0423, 63 avenue Franklin Delano Roosevelt",48.871812,2.309915
"Space Invader PA_0424, 13 rue de la Manutention",48.864665,2.295582
